ener_f  theta_0  d_theta  beta_0  chi2
197.3  38.90262051712837  29.08705582439976  0.00036066553663361166  30.74805106328549
197.4  38.981345842637694  29.143041986653103  0.0003611208899154333  30.476439688351284
197.5  38.98132784490522  29.14302718648478  0.00036112147576796805  30.482820567049846
197.6  38.98121721885403  29.142939426185666  0.0003611309766311617  30.51008510825397
197.7  38.98094368413861  29.142731024895934  0.0003611450868609926  30.557852399964304
197.8  38.979511639856966  29.14004905006532  0.0003631864912218799  30.47872222981341
197.9  38.9794917226571  29.140017352562513  0.0003632071212179744  30.48947488367258
198.0  38.980934844366644  29.140218729227975  0.0003642303958096198  30.47972691214364
198.1  38.98164966792866  29.140326761767213  0.00036472620474806036  30.480155670063578
198.2  38.98274375828579  29.140582769904203  0.00036537464111909283  30.48070022938623
198.3  38.98284339188427  29.140613390569627  0.000365424003149671  30.48770377871202
198.4  38.983961289194056  29.140665858958375  0.0003663433916162384  30.48228853698191
198.5  38.98459064085017  29.140706353747426  0.0003668475483902523  30.483009885161692
198.6  38.98514282869622  29.140607991368977  0.000367454341717168  30.484296544658765
198.7  38.985702965097815  29.140672106820148  0.00036786830610204094  30.485383727188005
198.8  38.986555779409535  29.140794204557793  0.0003684684760581178  30.486260464444783
198.9  38.986555779409535  29.140794204557793  0.0003684684760581178  30.499807769653184
199.0  38.987878685690745  29.140861279193075  0.00036954958383922127  30.489787585150296
199.1  38.988565564627734  29.141026823758942  0.0003699506791247416  30.489958409958202
199.2  38.989256377705495  29.14108355752212  0.0003704893459630013  30.491453685333084
199.3  38.99016910893471  29.141105820362615  0.0003712647173300484  30.491801864294963
199.4  38.99100585930455  29.141356163828572  0.00037169308608519787  30.492236112841773
199.5  38.990915456042984  29.14127642237474  0.0003717109817863973  30.505168373007162
199.6  38.99182417619568  29.141247436464365  0.00037254566730762366  30.49853170456658
199.7  38.99176806222148  29.141201016683766  0.00037255325869197287  30.51949329669938
199.8  38.99002416810649  29.13886468320774  0.0003738937369914379  30.505686313597007
199.9  38.99000584851902  29.13884962660267  0.00037389447690535884  30.51956787881522
200.0  38.99005451707558  29.138881679500706  0.00037389685453024883  30.553525427240967
200.1  38.989935360724004  29.138789343540125  0.00037390548174311464  30.608456955455456
200.2  38.98829666493336  29.135816932549222  0.00037612197799085284  30.525596143335452
200.3  38.98831086216246  29.13582512079303  0.0003761243860485988  30.539273933761947
200.4  38.98854480025014  29.136002619750688  0.00037611091978833483  30.574589467000347
200.5  38.98829491140907  29.135814326080617  0.00037612160518030185  30.62940198447472
200.6  38.98830730997172  29.135825729150366  0.0003761167897795669  30.70572325374572
200.7  38.983062055374035  29.12978898689721  0.0003789335821863928  30.567104513770648
200.8  38.983902130845664  29.129872868333038  0.00037956965647331105  30.56971590902199
200.9  38.98430505306354  29.1298919718086  0.000379899855573821  30.57529887734833
201.0  38.98430192571229  29.129885557995994  0.00037990433352668015  30.595618849529178
201.1  38.98573464837142  29.129810488591364  0.00038125945448257517  30.58064782275046
201.2  38.98633282234374  29.12989894233347  0.000381676654096234  30.58377667673336
201.3  38.98630622731783  29.129871761257924  0.00038168521294860644  30.600571888664827
201.4  38.98747940278734  29.129709263268843  0.0003829188655582613  30.592073934476474
201.5  38.988152960499406  29.12981301273943  0.0003833836359337078  30.595242901738274
201.6  38.98813106577052  29.12979348190406  0.000383388126564102  30.61025009962374
201.7  38.9896568399868  29.12979094967102  0.0003847338768654971  30.605971053235393
201.8  38.9896568399868  29.12979094967102  0.0003847338768654971  30.610463989362866
201.9  38.98966676694084  29.129790537770965  0.00038474173226247816  30.63649569642377
202.0  38.989502873590766  29.12965768332082  0.0003847608449209577  30.682584097807595
202.1  38.98956285213174  29.129682632407672  0.0003847812554572484  30.74454483590674
202.2  38.99004162198287  29.128103306274568  0.0003871499416086215  30.635708564104817
202.3  38.99097181735655  29.128199938787045  0.0003878497101176119  30.638641707426643
202.4  38.99096382411329  29.128190944677122  0.00038785284251950403  30.654087503442117
202.5  38.99237704618615  29.12829211382528  0.0003889721129409886  30.646502388470715
202.6  38.99345129029803  29.128581313131654  0.00038956091595263346  30.649112728267937
202.7  38.99366686713947  29.1286043967016  0.00038972239031185  30.6589030632203
202.8  38.99363044247262  29.12856839082165  0.0003897335441610152  30.685953207961642
202.9  38.99550623480836  29.128687162793298  0.0003912382446026113  30.661788052111245
203.0  38.995469579369505  29.128658087867798  0.00039124073372747266  30.676243196115472
203.1  38.99545344228672  29.128633473170485  0.00039125669099397773  30.70937577977062
203.2  38.9955093965211  29.128681444700856  0.00039124604039967236  30.76365284367601
203.3  39.00235104752563  29.131756318388337  0.00039348020757072025  30.657177309491576
203.4  39.00234609339164  29.13175090560558  0.00039348141325253185  30.669507094631903
203.5  39.002604733052024  29.13194776460331  0.0003934656830294011  30.70014890603166
203.6  39.00274481255268  29.132053697953076  0.0003934577236941313  30.751484292557016
203.7  38.99618273334757  29.125999510952568  0.00039514118119146293  30.73708404444942
203.8  38.99619125633053  29.12598874299816  0.00039516034061553754  30.773245074814028
203.9  38.99385769298569  29.122958639766903  0.0003968405165897383  30.763882682116044
204.0  38.99385388017641  29.122952978450137  0.0003968429148143711  30.784671287555096
204.1  38.99394404416749  29.123019477612466  0.0003968394656074854  30.824373284470326
204.2  38.99408409256292  29.12312537849604  0.00039683143802467127  30.883752300773985
204.3  38.99570685672092  29.12221581240304  0.00039938228173683855  30.794736187670686
204.4  38.99584228392574  29.12229895806026  0.00039939762533782467  30.805821924315058
204.5  38.99585138557601  29.122302257776102  0.0003994007769226159  30.83624258615246
204.6  39.08091707809448  29.182805154659484  0.00039971523880991133  30.477558856333253
204.7  39.080926435303944  29.18280912861863  0.0003997172914520271  30.487793479479983
204.8  39.080926435303944  29.18280912861863  0.0003997172914520271  30.518698815351105
204.9  39.080401233156365  29.18106333440533  0.0004013994904598395  30.48184594711225
205.0  39.08040745770798  29.181062126080924  0.0004014048083115076  30.49401148477973
205.1  39.07541574965269  29.176620888137677  0.00040248046841515934  30.49244759652608
205.2  39.075321384590794  29.176539525276844  0.0004024961846421102  30.51175699078906
205.3  39.07578328206898  29.176878809927697  0.00040248410318851507  30.54709615228701
205.4  39.07569109901133  29.176793702949805  0.0004025075380420964  30.602577396058187
205.5  39.079404908711936  29.177339316060444  0.00040509321626369947  30.496780627734502
205.6  39.079404908711936  29.177339316060444  0.00040509321626369947  30.502596145384757
205.7  39.07945879317221  29.177375810714533  0.0004050940714881344  30.529428021203053
205.8  39.07934070868652  29.177283956788305  0.0004051027667337408  30.5737745055288
205.9  39.07169833167907  29.17012822171197  0.0004071900483975817  30.5275099371289
206.0  39.07172359417953  29.170131203344297  0.0004072075268003177  30.54639490854579
206.1  39.0722847901509  29.170561958007625  0.00040716981461467143  30.585482825410594
206.2  39.07675825365272  29.172006962706796  0.00040931746738737937  30.526563057213828
206.3  39.07674729237594  29.171996296985675  0.00040931923070868344  30.53416475324364
206.4  39.07674729237594  29.171996296985675  0.00040931923070868344  30.556128576454608
206.5  39.07490310679753  29.169488563192157  0.0004107821088192056  30.544279501458227
206.6  39.07489985638692  29.16948794390033  0.00041077899766297566  30.561380396136688
206.7  39.075026120353314  29.16958375062611  0.0004107712491036577  30.596776432071245
206.8  39.074954827485904  29.16952692406496  0.0004107776883533899  30.651757136585285
206.9  39.07486387679501  29.169452740695693  0.0004107889774177835  30.725726294905332
207.0  39.07495548699948  29.16703244701447  0.0004138429972118593  30.571178503486788
207.1  39.07495486925421  29.16702607405651  0.0004138487336660501  30.585195089983905
207.2  39.075006266317445  29.167061628430538  0.000413850072456375  30.617763234396598
207.3  39.07459241009619  29.166689556427137  0.00041394223083446763  30.665460140549005
207.4  39.069401501594825  29.16119436063192  0.00041614384732285945  30.622334786502023
207.5  39.06945721491947  29.161231582224367  0.00041614588304475427  30.64239717816816
207.6  39.06950135420327  29.16126164762627  0.00041614689501919406  30.680451092973847
207.7  39.06937963378339  29.161170259224846  0.00041615232124836643  30.738874854919516
207.8  39.05919995145906  29.15217337443733  0.000418283592096082  30.719087616869093
